time ,id ,gender ,age 
1,1,M,35
2,1,M,29
3,1,M,38
4,1,M,32
5,1,M,37
6,1,M,25
7,1,M,28
8,1,M,30
9,1,M,30
10,1,M,26
11,1,M,38
12,1,M,28
13,1,M,27
14,1,M,33
15,1,M,36
16,1,M,24
17,2,M,29
18,2,M,33
19,2,M,32
20,2,M,28
21,2,M,37
22,2,M,35
23,2,M,33
24,2,M,24
25,2,M,25
26,2,M,29
27,2,M,36
28,2,M,37
29,2,M,31
30,2,M,32
31,2,M,38
32,2,M,38
33,2,M,37
34,1,M,29
35,1,M,34
36,1,M,30
37,1,M,32
38,1,M,32
39,1,M,34
40,1,M,35
41,1,M,29
42,1,M,32
43,2,M,24
44,2,M,24
45,2,M,32
46,2,M,35
47,2,M,33
48,2,M,26
49,2,M,35
50,2,M,38
51,2,M,24
52,2,M,36
53,3,F,29
54,3,F,27
55,3,F,30
56,3,F,38
57,3,F,35
58,3,F,33
59,3,F,33
60,1,M,31
61,1,M,33
62,1,M,29
63,1,M,35
64,1,M,33
65,1,M,35
66,1,M,25
67,1,M,28
68,1,M,37
69,1,M,36
70,1,M,29
71,1,M,34
72,1,M,35
73,1,M,30
74,1,M,28
75,1,M,33
76,1,M,38
77,1,M,38
78,1,M,36
79,1,M,34
80,1,M,25
81,1,M,37
82,1,M,34
83,1,M,24
84,1,M,34
85,1,M,38
86,1,M,29
87,1,M,26
88,1,M,27
89,1,M,24
90,1,M,37
91,1,M,27
92,1,M,28
93,1,M,32
94,2,M,31
95,2,M,35
96,2,M,24
97,2,M,30
98,2,M,32
99,2,M,28
100,2,M,36
101,2,M,35
102,2,M,25
103,2,M,28
104,2,M,35
105,2,M,38
106,2,M,25
107,2,M,28
108,2,M,32
109,2,M,34
110,2,M,37
111,2,M,26
112,2,M,24
113,2,M,32
114,2,M,30
115,2,M,35
116,2,M,25
117,2,M,35
118,2,M,26
119,2,M,24
120,2,M,27
121,2,M,32
122,2,M,27
123,2,M,38
124,2,M,25
125,2,M,34
126,2,M,29
127,2,M,37
128,2,M,33
129,0,NULL,NULL
130,0,NULL,NULL
131,0,NULL,NULL
132,0,NULL,NULL
133,0,NULL,NULL
134,0,NULL,NULL
135,0,NULL,NULL
136,0,NULL,NULL
137,0,NULL,NULL
138,0,NULL,NULL
139,0,NULL,NULL
140,0,NULL,NULL
141,0,NULL,NULL
142,0,NULL,NULL
