"No.","Time","Source","Destination","Protocol","Length","Info"
"42","0.052989259","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=1988, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"53","0.071962497","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=1989, FN=0, Flags=........, SSID=NUST"
"622","0.807913246","Htc_8e:ad:ea","Broadcast","802.11","278","Probe Request, SN=65, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"633","0.832468852","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3370, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"717","0.940909896","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=413, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"724","0.962325732","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=414, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"758","1.032625766","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=418, FN=0, Flags=........, SSID=NUST"
"777","1.055487224","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=419, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"1002","2.359232766","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=434, FN=0, Flags=........, SSID=NUST"
"1010","2.382224047","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=435, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"1632","3.512776895","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=441, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"1650","3.531050164","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=442, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"1806","3.693008618","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2401, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"1817","3.699492893","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2402, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"2499","4.586835077","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=2029, FN=0, Flags=........, SSID=NUST"
"2515","4.599902903","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=2030, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"2584","4.683792463","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=449, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"2668","4.778361054","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3379, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"2700","4.800601492","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3380, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"2860","4.962697979","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3388, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"3369","6.020346805","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=455, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"3374","6.036544065","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=456, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"4674","8.981123481","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2413, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"4678","8.986499857","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2414, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"6506","12.092536290","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3481, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"6538","13.306478674","Consentr_c7:01:cc","Broadcast","802.11","194","Probe Request, SN=3304, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"7829","16.974266531","LgElectr_ae:91:ce","Broadcast","802.11","287","Probe Request, SN=2724, FN=0, Flags=........, SSID=NUST"
"8763","19.149012939","HonHaiPr_0e:ce:df","Cisco_89:a5:a0","802.11","194","Probe Request, SN=256, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"8926","20.264078115","IntelCor_d3:cd:7c","Broadcast","802.11","218","Probe Request, SN=451, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"9063","20.404338946","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=2076, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"9423","20.700091730","LiteonTe_7a:f3:12","Broadcast","802.11","190","Probe Request, SN=304, FN=0, Flags=........, SSID=Broadcast"
"9456","20.720881120","LiteonTe_7a:f3:12","Broadcast","802.11","190","Probe Request, SN=305, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"10452","21.841824902","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=260, FN=0, Flags=........, SSID=Broadcast"
"10471","21.865078682","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=261, FN=0, Flags=........, SSID=Broadcast"
"11004","23.671874244","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=272, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"11030","23.718287614","HonHaiPr_15:a3:4d","Broadcast","802.11","194","Probe Request, SN=280, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
